name,matches,count
Cartman,Kyle,1011
Cartman,Butters,567
Kyle,Cartman,564
Stan,Dude,495
Cartman,Kenny,401
Cartman,God,388
Stan,Cartman,373
Kyle,Dude,361
Stan,Kyle,320
Stan,Dad,281
Randy,Stan,272
Kyle,Stan,258
Cartman,All,244
Cartman,Dude,229
Cartman,Stan,220
Cartman,Mom,203
Sharon,Randy,201
Butters,Eric,198
Randy,Sharon,195
Stan,Kenny,193
Liane,Eric,183
Kyle,Ike,180
Stan,Butters,167
Cartman,Tolkien,164
Kyle,Kenny,162
Kyle,Butters,153
Kyle,God,149
Stan,God,146
Sheila,Kyle,141
Stephen,Butters,132
Cartman,Jesus,129
Cartman,Clyde,127
Stan,All,125
Sharon,Stanley,120
Stan,Jesus,118
Kyle,All,109
Gerald,Kyle,108
Stan,Chef,99
Jimbo,Ned,96
Randy,God,96
Mr. Garrison,Hat,94
Butters,Dad,94
Cartman,Craig,92
Cartman,Heidi,90
Cartman,Wendy,90
Stan,Mom,89
Cartman,Scott,84
Terrance,Phillip,83
Kyle,Dad,83
Wendy,Stan,79
Linda,Butters,79
Randy,All,76
Stan,Wendy,75
Cartman,Jimmy,73
Kyle,Chef,70
Kyle,Jesus,69
Butters,Kyle,68
Randy,Stanley,67
Phillip,Terrance,67
Butters,Stan,66
Mr. Mackey,Eric,63
Cartman,Right,62
Mr. Garrison,Eric,61
Cartman,Eric,61
Kyle,Mom,59
Randy,Shelly,59
Cartman,Cartman,57
Butters,God,54
Butters,Butters,52
Butters,Mom,51
Reporter,Tom,49
Sheila,Gerald,47
Cartman,Man,46
Cartman,Kitty,46
Jimmy,Timmy,44
Timmy,Timmy,43
Heidi,Eric,40
Principal Victoria,Eric,40
Sharon,Stan,40
Stan,Craig,39
Mr. Mackey,Kyle,39
Stan,Grandpa,39
Satan,Chris,38
Cartman,Chef,38
Satan,Saddam,37
Cartman,Tweek,37
Cartman,TV,37
Butters,Jesus,36
Mr. Slave,Jesus,36
Gerald,God,36
Randy,Jesus,36
Mr. Hankey,Kyle,35
Sheila,Ike,35
Nathan,Mimsy,34
Mr. Garrison,Kyle,34
Stan,Token,34
Kyle,Tolkien,34
Carol,Kenny,34
Cartman,Everyone,33
Stephen,Randy,33
Cartman,Red,33
Stan,TV,33
Kyle,Jimmy,32
Al Gore,ManBearPig,32
Cartman,Garrison,31
Kyle,Terrance,31
Kyle,Phillip,31
Dr. Janus,Butters,31
Fiancée,Richard,31
Jimmy,Eric,31
Randy,People,30
Kyle,Kyle,30
Kyle,Garrison,30
Sharon,God,29
Stephen,Linda,29
Gerald,Ike,29
Stan,Tweek,29
Field reporter,Tom,29
Garrison,Rick,29
Stan,Garrison,28
Randy,Gerald,28
Cartman,People,28
Tweek,God,28
Crowd,Hat,27
Butters,All,27
Kyle,Tweek,27
Kyle,Everyone,27
Cartman,Family,26
Cartman,American,26
Butters,Boy,26
Craig,Tweek,26
Stan,Stan,26
Sheila,God,26
Stan,Timmy,26
Stan,Jimmy,25
Chef,Eric,25
Marvin,Billy,25
Mingie,Gary,25
Michael,Blanket,24
Chris,Butters,24
Stan,Sparky,24
Wendy,Bebe,24
Cartman as Jennifer Lopez,Ben,24
Butters,Kenny,24
Jimmy,Stan,23
Stan,Tolkien,23
Cartman,Alexa,23
Nathan,Jimmy,23
PC Principal,Eric,23
Stan,Mackey,23
Randy,Everyone,22
Stan,Phillip,22
Betsy,Clyde,22
Linda,Stephen,22
Butters,Cartman,22
Stan,Jimbo,22
Randy,Right,22
Cartman,David,22
Randy,Randy,22
Narrator,Terrance,22
Kyle,Wendy,22
Principal Victoria,Garrison,22
Stan,Right,21
Cartman,Captain,21
Cartman,Somebody,21
Kyle,Right,21
Crowd,Randy,21
Stan,ManBearPig,21
Kyle,Timmy,21
Chris,Tom,21
Cartman,Mackey,21
Mr. Garrison,Jesus,21
Richard,Tweek,21
Bebe,Wendy,20
Cartman,Mel,20
Tweek,Jesus,20
Narrator,Phillip,20
Cartman,President,20
Cartman,Principal,20
Stan,Terrance,20
Garrison,President,20
Kyle,TV,20
Mrs. Garrison,woman,20
Cartman,Bebe,20
Gerald,Randy,20
Stan,People,20
Chef,Stan,20
Mr. Garrison,Kenny,19
Randy,Stephen,19
Mr. Garrison,Stanley,19
Ike,Kyle,19
Randy,Nelson,19
Mr. Garrison,All,19
Santa,Jesus,19
Randy,Darryl,19
Chef,woman,19
Russell Crowe,Tugger,19
Sharon,All,19
Butters,Wendy,18
Chef,All,18
Kyle,People,18
Stuart,Kenny,18
Mrs. Garrison,Eric,18
Mr. Garrison,God,18
Satan,God,18
Jimbo,Randy,18
Randy,Mayor,18
Cartman,Billy,18
Chris,Satan,18
Mr. Garrison,Stan,18
Kyle,Steve,18
Mr. Hat,Garrison,18
Cartman,Polly,18
Mr. Mackey,Garrison,18
Kyle,Craig,18
Stan,Shelly,17
Chef,God,17
Cartman,Timmy,17
Yates,All,17
Kyle,Heidi,17
Grandpa,Billy,17
Cartman,Phillip,17
Shelly,Dad,17
Stan,New,17
Gerald,Sheila,17
Cartman,Mexican,16
Mr. Mackey,Stan,16
Narrator,Pip,16
Linda,God,16
Stan,Man,16
Wendy,Cartman,16
Randy,Dad,16
Stan,Uncle,16
Santa,Santa,16
Sharon,Sheila,16
Mayor McDaniels,All,16
Jimmy,All,16
Mr. Garrison,Butters,16
Randy,New,16
Cartman,Bill,16
Randy,Boys,16
Gerald,All,16
Stan,Mel,16
Randy,Obama,15
Announcer,Kenny,15
Elder Garth,Haman,15
Kenny,Dude,15
Mr. Garrison,Rick,15
Ben,Jenny,15
Mr. Mackey,God,15
Randy,Shelley,15
Clyde,Bebe,15
Cat,Johnson,15
Cartman,Jefferson,15
PC Principal,All,15
Kyle,President,15
Tweek,Craig,14
Cartman,Son,14
Craig,Dude,14
Butters,Grandma,14
Cartman,Tom,14
Chef,Kyle,14
Wendy,God,14
Randy,Muhammad,14
Jimbo,All,14
Mr. Mackey,Tolkien,14
PC Principal,Cartman,14
Scott,Terrance,14
Announcer,Ladies,14
Choir,Butters,14
Mayor McDaniels,God,14
Kenny,Cartman,14
Chief elder,Moses,14
Stan,Smith,14
Butters,Lexus,14
Stan,Towelie,14
Stan,John,13
Sharon,Shelly,13
Yates,Jesus,13
Mr. Mackey,Principal,13
Butters,General,13
Woman,God,13
Chef,Chef,13
Stan,Clyde,13
Butters,Jimmy,13
Crowd Members,Douche,13
Butters,Clyde,13
Kyle,Principal,13
Sheila,Sharon,13
Mrs. Garrison,Kyle,13
Announcer,Canadian,13
Mr. Garrison,Wendy,13
Jimbo,God,13
Jimmy,Kyle,13
Cartman,Terrance,13
Wendy,Garrison,13
Cartman,Santa,13
Terrance,Scott,13
Butters,Father,13
Mr. Garrison,Barbrady,13
Jimmy,God,13
Gary,Mingie,13
Cartman,Coon,13
Randy,TV,12
Mayor McDaniels,Garrison,12
Mr. Mackey,Cartman,12
Jimbo,Mexican,12
Stan,Everyone,12
Michael,Kenny,12
Stan,Muhammad,12
