,Character,Category
0,Stan Marsh,The Four Boys
1,Kyle Broflovski,The Four Boys
2,Eric Cartman,The Four Boys
3,Kenny McCormick,The Four Boys
4,Butters Stotch,4th Graders
5,Wendy Testaburger,4th Graders
6,Annie Knitts,4th Graders
7,Bebe Stevens,4th Graders
8,Bradley Biggle,4th Graders
9,Craig Tucker,4th Graders
10,Clyde Donovan,4th Graders
11,David Rodriguez,4th Graders
12,Dog Poo Petuski,4th Graders
13,Esther,4th Graders
14,Francis,4th Graders
15,Heidi Turner,4th Graders
16,Jason,4th Graders
17,Jenny Simons,4th Graders
18,Jimmy Valmer,4th Graders
19,Kevin Stoley,4th Graders
20,Lola,4th Graders
21,Millie Larsen,4th Graders
22,Nelly,4th Graders
23,Nichole Daniels,4th Graders
24,Pip Pirrup,4th Graders
25,Powder Turner,4th Graders
26,Red,4th Graders
27,Scott Malkinson,4th Graders
28,Timmy Burch,4th Graders
29,Token Black,4th Graders
30,Tweek Tweak,4th Graders
31,Alex Glick,4th Graders
32,Allen Varcas,4th Graders
33,Allie Nelson,4th Graders
34,Annie (Butters' Bottom Bitch),4th Graders
35,Apple Replacement Friend,4th Graders
36,Ashley,4th Graders
37,Baahir Hakeem,4th Graders
38,Beth,4th Graders
39,Bill Allen,4th Graders
40,Billy Circlovich,4th Graders
41,Billy Miller,4th Graders
42,Bloodrayne,4th Graders
43,Bobby,4th Graders
44,Bradley (Cartman Sucks),4th Graders
45,Greeley Batter (Brian),4th Graders
46,Carlos (My Future Self N' Me),4th Graders
47,Charlotte,4th Graders
48,Chris Donnely,4th Graders
49,Christophe The Mole,4th Graders
50,Cosette,4th Graders
51,Courtney,4th Graders
52,Damien Thorn,4th Graders
53,David Weatherhead,4th Graders
54,Davin Miller,4th Graders
55,Douglas,4th Graders
56,Emily Marx,4th Graders
57,Emmett Hollis,4th Graders
58,Estella Havesham,4th Graders
59,Felipe (My Future Self N' Me),4th Graders
60,Ferrari,4th Graders
61,Fosse McDonald,4th Graders
62,Francis (Special Ed),4th Graders
63,Frederick Smith,4th Graders
64,Gary Harrison,4th Graders
65,Gavin Throttle,4th Graders
66,Gregory of Yardale,4th Graders
67,Herbert Pocket,4th Graders
68,Isiah Jordan,4th Graders
69,Isla,4th Graders
70,Jake,4th Graders
71,Jessica Rodriguez,4th Graders
72,Jessie,4th Graders
73,Jessie (Medicinal Fried Chicken),4th Graders
74,Josh Myers,4th Graders
75,Kal,4th Graders
76,Kelly,4th Graders
77,Kelly P. Gardner,4th Graders
78,Kelly Pinkerton-Tinfurter,4th Graders
79,Kelly Rutherford-Menskin,4th Graders
80,Kevin (Summer Sucks),4th Graders
81,King Douchebag,4th Graders
82,Sir Douchebag,4th Graders
83,Commander Douchebag,4th Graders
84,Kyle Schwartz,4th Graders
85,Larry,4th Graders
86,Leroy Mullins,4th Graders
87,Leslie Meyers,4th Graders
88,Lexus,4th Graders
89,Linda Triscotti,4th Graders
90,Lisa Berger,4th Graders
91,Lisa Smith,4th Graders
92,Liza,4th Graders
93,Lizzy,4th Graders
94,Loogie,4th Graders
